CSG_HOUSEKEY,Transaction_Type,Transaction_Date,Transaction_Result,Order__c,CSG_CABLE_SERV_STATUS,CSG_INTERNET_SERV_STATUS,CSG_PHONE_SERV_STATUS,CSG_SECURITY_SERV_STATUS,CSG_CABLE_SERV_DATE,CSG_INTERNET_SERV_DATE,CSG_PHONE_SERV_DATE,CSG_SECURITY_SERV_DATE,CSG_DROP_TYPE,CSG_VIDEO_TAP_STATUS,ELOC_CUSTOMFIELD1,JT_DBIG_CODE,CSG_DROP_STATUS,CSG_DWELL_TYPE,CSG_DWELL_CATEGORY,CSG_DWELL_SUBCATEGORY,CSG_HOUSE_STATUS,ELOC_ESLAM_PLG,HBB_COUNT,PBB_COUNT,MIP_TOTAL_EST_QB_COAX,MIP_TOTAL_BUSINESSES_IN_SMB,COSTAR_PROPERTY_TYPE,COSTAR_PROPERTY_SUBTYPE,COSTAR_MALL,COSTAR_RENTABLE_BUILDING_AREA,COSTAR_TYPICAL_FLOOR_SIZE,COSTAR_NUMBER_OF_STORIES,COSTAR_YEAR_BUILT,YEAR_RENOVATED,COSTAR_TENANTS,TAP_DROP_TYPE,TAP_NUM_PORTS,MIP_BUILDING_LAT_LONG_CODE,IQ_ROUTE_COST_COAX,MIP_BUILDING_TYPE,MIP_IN_PROBUILD,BLDG_CABLE_SERV_STATUS,BLDG_INTERNET_SERV_STATUS,BLDG_PHONE_SERV_STATUS,BLDG_SECURITY_SERV_STATUS,BLDG_DROPSTATUS,Master_HKSvc,Master_BldgBilling,Master_HKSvcPost12_22_13,Master_ResiHK,Master_RecentRTISurvey,Master_BldgService,Master_RecentRTIPIV,Master_ValidECF1Const,Master_PlantNearParcel,Master_JTConstruction,Const_RecentDOIFNoConst,Const_ConstSurveyNoConst,Const_U32PIVNoConst,Const_FiberOnlyBldg,Const_HouseStatusMY,Const_HouseStatusMZ,Const_NeverSvcBldg,Green_ActiveSuiteCoax,Green_ActiveSuiteMultiPlusVideo,Green_SvcResiHK,Green_SuiteBilling,Green_ProBuildConstWithROE,Green_AerialDrop150Ft,Green_PlantOnParcel,PIV_SuiteFiber,PIV_SuiteMultiNoVideo,PIV_SuiteNonStandardSurvey,PIV_ProBuildConstNoROE,PIV_NeverSvcSuite,PIV_PLG,PIV_RFOG,PIV_LargeSingleTenant,PIV_LargeMultiTenant,PIV_MallSuiteNoRTI,PIV_HardDisco
9.46E+13,DOIF,1/10/2018,Construction Issue,a0V1H00000DMllOUAT,N,N,N,N,11/1/2017,11/1/2017,11/1/2017,11/1/2017,COAX ,0, ,NULL,0,CL,COMMERCIAL,BUSINESS,NS,PLG0917,0,0,1,0,Industrial,Warehouse,0,17340,17340,1,1975,0,2,NULL,NULL,CoStar,303.77,COMMERCIAL,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/6/2017,Complete,a0V1H00000E1NfvUAF,S,S,S,S,3/20/2003,8/13/2005,8/8/2007,2/24/2017,COAX ,1, ,NULL,1,CP,COMMERCIAL,BUSINESS,G2, ,0,1,1,1,Retail,Storefront Retail/Residential,0,3797,2157,2,1918,0,1,NULL,NULL,CoStar,166.85,COMMERCIAL,0,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,DOIF,1/13/2018,Construction Issue,a0V1H00000E3gbjUAB,S,S,S,S,3/5/2004,8/13/2005,6/20/2006,1/26/2016,COAX ,0, ,NULL,3,AA,RESIDENTIAL,SINGLE FAMILY,G2, ,0,1,3,3,Industrial,Warehouse,0,11400,11400,1,1925,0,1,NULL,NULL,CoStar,2340.99,COMMERCIAL,0,2,2,3,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/5/2017,Complete,a0V1H00000E0nyGUAR,S,S,S,S,2/28/2005,8/13/2005,8/8/2007,2/24/2017,COAX ,1, ,NULL,1,CL,COMMERCIAL,BUSINESS,G2, ,0,1,54,25,Office,,0,485039,23000,20,2002,0,1,NULL,NULL,CoStar,3983.95,COMMERCIAL,0,99,99,99,98,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,DOIF,1/17/2018,Construction Issue,a0V1H00000E1w0NUAR,S,S,S,S,9/20/2017,9/20/2017,9/20/2017,9/20/2017,COAX ,0, ,NULL,0,CL,COMMERCIAL,BUSINESS,G2,PLG0917,0,0,39,27,Office,,0,330538,69650,6,1982,0,1,NULL,NULL,CoStar,6982.12,COMMERCIAL,0,51,51,51,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,DOIF,2/12/2018,Construction Issue,a0V1H00000EpX2rUAF,N,N,N,N,1/17/2007,1/17/2007,1/17/2007,1/26/2016,COAX ,0,G01205801,NULL,0,CP,COMMERCIAL,BUSINESS,G2,PLGC0917,0,2,41,29,Office,,0,330538,69650,6,1982,0,1,NULL,NULL,CoStar,6982.12,COMMERCIAL,0,51,51,51,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/6/2017,Complete,a0V1H00000DNtYTUA1,S,S,S,S,11/5/2010,11/5/2010,11/5/2010,2/24/2017,COAX ,0, ,NULL,1,CP,COMMERCIAL,BUSINESS,G2,PLGC0917,0,1,7,6,Office,,0,9543,3181,3,1991,0,1,NULL,NULL,CoStar,340.34,COMMERCIAL,0,9,9,9,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,DOIF,12/18/2017,Construction Issue,a0V1H00000E1ApwUAF,S,S,S,S,5/16/2016,4/13/2016,4/13/2016,2/24/2017,COAX ,0, ,NULL,0,CL,COMMERCIAL,BUSINESS,G2, ,0,1,1,1,Retail,Storefront Retail/Office,0,18058,9029,2,1910,0,1,NULL,NULL,CoStar,2123.46,COMMERCIAL,0,2,2,2,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/5/2017,Complete,a0V1H00000DOKJgUAP,S,S,S,S,4/13/2012,4/13/2012,12/2/2014,2/16/2017,COAX ,0,C07100973,NULL,1,CP,COMMERCIAL,BUSINESS,G2, ,0,2,48,36,Office,,0,232102,19087,12,1975,2011,1,NULL,NULL,CoStar,0,COMMERCIAL,0,49,52,52,52,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/6/2017,Complete,a0V1H00000E0kkkUAB,S,S,S,S,2/19/2015,2/19/2015,2/19/2015,2/24/2017,COAX ,0,E08207882,NULL,0,CP,COMMERCIAL,BUSINESS,G2, ,0,1,18,18,Industrial,Warehouse,0,45000,45000,2,1938,0,1,NULL,NULL,CoStar,49.33,COMMERCIAL,0,23,23,23,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
