CSG_HOUSEKEY,Transaction_Type,Transaction_Date,Transaction_Result,Order__c,CSG_CABLE_SERV_STATUS,CSG_INTERNET_SERV_STATUS,CSG_PHONE_SERV_STATUS,CSG_SECURITY_SERV_STATUS,CSG_CABLE_SERV_DATE,CSG_INTERNET_SERV_DATE,CSG_PHONE_SERV_DATE,CSG_SECURITY_SERV_DATE,CSG_DROP_TYPE,CSG_VIDEO_TAP_STATUS,ELOC_CUSTOMFIELD1,JT_DBIG_CODE,CSG_DROP_STATUS,CSG_DWELL_TYPE,CSG_DWELL_CATEGORY,CSG_DWELL_SUBCATEGORY,CSG_HOUSE_STATUS,ELOC_ESLAM_PLG,HBB_COUNT,PBB_COUNT,MIP_TOTAL_EST_QB_COAX,MIP_TOTAL_BUSINESSES_IN_SMB,COSTAR_PROPERTY_TYPE,COSTAR_PROPERTY_SUBTYPE,COSTAR_MALL,COSTAR_RENTABLE_BUILDING_AREA,COSTAR_TYPICAL_FLOOR_SIZE,COSTAR_NUMBER_OF_STORIES,COSTAR_YEAR_BUILT,YEAR_RENOVATED,COSTAR_TENANTS,TAP_DROP_TYPE,TAP_NUM_PORTS,MIP_BUILDING_LAT_LONG_CODE,IQ_ROUTE_COST_COAX,MIP_BUILDING_TYPE,MIP_IN_PROBUILD,BLDG_CABLE_SERV_STATUS,BLDG_INTERNET_SERV_STATUS,BLDG_PHONE_SERV_STATUS,BLDG_SECURITY_SERV_STATUS,BLDG_DROPSTATUS,Master_HKSvc,Master_BldgBilling,Master_HKSvcPost12_22_13,Master_ResiHK,Master_RecentRTISurvey,Master_BldgService,Master_RecentRTIPIV,Master_ValidECF1Const,Master_PlantNearParcel,Master_JTConstruction,Const_RecentDOIFNoConst,Const_ConstSurveyNoConst,Const_U32PIVNoConst,Const_FiberOnlyBldg,Const_HouseStatusMY,Const_HouseStatusMZ,Const_NeverSvcBldg,Green_ActiveSuiteCoax,Green_ActiveSuiteMultiPlusVideo,Green_SvcResiHK,Green_SuiteBilling,Green_ProBuildConstWithROE,Green_AerialDrop150Ft,Green_PlantOnParcel,PIV_SuiteFiber,PIV_SuiteMultiNoVideo,PIV_SuiteNonStandardSurvey,PIV_ProBuildConstNoROE,PIV_NeverSvcSuite,PIV_PLG,PIV_RFOG,PIV_LargeSingleTenant,PIV_LargeMultiTenant,PIV_MallSuiteNoRTI,PIV_HardDisco
5.40E+13,Install,12/5/2017,Complete,a0V1H00000E0mHYUAZ,S,S,S,S,4/26/2001,9/24/2005,1/17/2007,3/1/2017,COAX,1, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,S2, ,0,1,1,1,Retail,Storefront Retail/Office,0,4464,2536,2,0,0,1,NULL,NULL,CoStar,147.1,COMMERCIAL,0,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.42E+13,Install,12/6/2017,Complete,a0V1H00000DO6PVUA1,S,S,S,N,4/7/1999,4/7/1999,7/10/2014,1/26/2016,COAX,3, ,NULL,3,CL,COMMERCIAL,NON_PROFIT,S2, ,0,1,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S5HPNTSCZA,0,COMMERCIAL,0,1,1,1,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.50E+13,Install,12/5/2017,Complete,a0V1H00000DOZo8UAH,S,S,S,S,6/12/2014,6/12/2014,6/12/2014,2/21/2017,COAX,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,S2, ,0,1,1,1,Retail,Freestanding,0,2534,2534,1,1961,0,1,NULL,NULL,CoStar,251.93,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.50E+13,Install,12/5/2017,Complete,a0V1H00000E0kOoUAJ,S,S,S,S,2/16/2004,9/24/2005,2/21/2006,1/26/2016,COAX,3, ,NULL,1,AA,RESIDENTIAL,SINGLE FAMILY,S2, ,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,175.72,RESIDENTIAL,0,1,2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.50E+13,Install,12/5/2017,Complete,a0V1H00000E0kOoUAJ,N,S,S,N,8/29/2017,8/29/2017,8/29/2017,8/29/2017,COAX,0, ,NULL,1,HA,COMMERCIAL,BUSINESS,SN, ,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,175.72,RESIDENTIAL,0,1,2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.50E+13,Install,12/6/2017,Complete,a0V1H00000E0Z8hUAF,S,S,S,S,9/21/2016,9/21/2016,9/21/2016,2/21/2017,COAX,0,G09003973,NULL,0,CL,COMMERCIAL,NON_PROFIT,S2,PLGC0917,0,1,11,10,Office,,0,17215,4267,2,0,0,1,NULL,NULL,CoStar,110.14,COMMERCIAL,0,17,17,17,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,8/15/2018,Complete,a0V1H00000G0KhuUAF,S,S,S,S,4/26/2001,9/24/2005,3/20/2006,1/26/2016,COAX ,0, ,NULL,0,AA,RESIDENTIAL,SINGLE FAMILY,G2, ,0,1,1,1,Retail,,1,3923,3923,1,1970,0,1,NULL,NULL,Costar,2096.68,COMMERCIAL,0,1,1,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5.51E+13,Install,12/5/2017,Complete,a0V1H00000E1EN0UAN,S,S,S,S,11/19/2003,9/24/2005,3/20/2006,1/26/2016,COAX,1, ,NULL,1,AA,RESIDENTIAL,SINGLE FAMILY,G2, ,2,0,2,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,0,RESIDENTIAL,0,1,2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/5/2017,Complete,a0V1H00000E1EN0UAN,N,S,S,N,10/20/2016,10/20/2016,10/20/2016,10/20/2016,COAX,0, ,NULL,1,HA,COMMERCIAL,BUSINESS,GN, ,2,0,2,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,0,RESIDENTIAL,0,1,2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/6/2017,Complete,a0V1H00000BQ0LgUAL,S,S,S,S,10/18/2017,10/18/2017,10/18/2017,10/18/2017,COAX,0,H11026738,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2, ,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,390.69,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,DOIF,10/15/2018,Construction Issue,a0V1H00000GCtqUUAT,S,S,S,S,4/19/2012,4/19/2012,4/19/2012,4/11/2017,COAX ,0, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,ED, ,0,1,2,1,Office,,0,15400,15400,1,0,0,1,NULL,NULL,Costar,2876.87,COMMERCIAL,0,1,1,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5.51E+13,Install,12/6/2017,Complete,a0V1H00000DMnE0UAL,S,S,S,S,9/29/2017,9/29/2017,9/29/2017,9/29/2017,COAX,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2,PLG0917,0,1,58,56,Office,,0,81322,10457,8,1916,0,1,NULL,NULL,CoStar,715.41,COMMERCIAL,0,129,129,129,124,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/5/2017,Complete,a0V1H00000E0fyXUAR,S,S,S,S,8/4/2010,8/4/2010,8/4/2010,3/1/2017,COAX,3, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2,PLGC0917,0,1,26,23,Office,,0,612006,47077,13,2000,0,1,NULL,NULL,CoStar,5512.27,COMMERCIAL,0,25,25,25,25,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/5/2017,Complete,a0V1H00000E0YVTUA3,S,S,S,S,4/26/2001,9/24/2005,10/7/2009,3/1/2017,COAX,3, ,NULL,3,CL,COMMERCIAL,NON_PROFIT,G2, ,0,2,2,2,Office,,0,14005,14005,1,1995,2013,1,NULL,NULL,CoStar,210.15,COMMERCIAL,0,1,1,1,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/5/2017,Complete,a0V1H00000E0rhKUAR,S,S,S,S,1/9/2012,1/9/2012,1/9/2012,3/1/2017,COAX,3, ,NULL,3,CL,COMMERCIAL,NON_PROFIT,S2,PLGC0917,0,0,11,10,Office,,0,9000,3000,3,1932,0,1,NULL,NULL,CoStar,30.61,COMMERCIAL,0,15,15,15,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,1/17/2018,Complete,a0V1H00000E3YAUUA3,S,S,S,S,4/26/2001,9/24/2005,2/15/2006,1/26/2016,COAX,2, ,NULL,2,AU,RESIDENTIAL,MULTI_PLEX,G2, ,0,1,1,1,Office,,0,3463,1731,2,1913,0,1,NULL,NULL,CoStar,1260.29,COMMERCIAL,0,2,2,2,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/6/2017,Complete,a0V1H00000DO6AGUA1,S,S,S,S,6/8/2010,6/8/2010,6/8/2010,3/1/2017,COAX,2, ,NULL,2,CL,COMMERCIAL,NON_PROFIT,G2, ,0,1,1,1,Retail,,0,22764,22764,1,1950,0,1,NULL,NULL,CoStar,1359.92,COMMERCIAL,0,1,1,1,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,DOIF,10/1/2018,Construction Issue,a0V1H00000FwMlSUAV,S,S,S,S,9/5/2018,9/4/2018,9/4/2018,9/5/2018,COAX ,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2, ,0,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8,8999.03,COMMERCIAL,0,2,2,2,2,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5.51E+13,Install,12/6/2017,Complete,a0V1H00000DOWADUA5,S,S,S,S,4/18/2011,4/18/2011,4/18/2011,2/21/2017,COAX,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,S2,PLGC0917,0,0,5,4,Industrial,Warehouse,0,58558,58558,1,1982,0,1,NULL,NULL,CoStar,2660.99,COMMERCIAL,0,9,9,9,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,1/17/2018,Complete,a0V1H00000E4corUAB,S,S,S,S,5/12/2009,5/12/2009,5/12/2009,2/21/2017,COAX,3, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2,PLGC0917,0,1,3,3,Retail,Storefront,0,14279,7139,2,1907,0,1,NULL,NULL,CoStar,803.84,COMMERCIAL,0,3,3,3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,DOIF,1/8/2018,Construction Issue,a0V1H00000DNtzeUAD,S,S,S,S,11/15/2017,11/15/2017,11/15/2017,11/15/2017,COAX,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2, ,0,1,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S7HPNTSCZA,950.74,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,DOIF,1/8/2018,Construction Issue,a0V1H00000DOMqHUAX,S,S,S,S,12/8/2017,12/8/2017,12/8/2017,12/8/2017,COAX,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2, ,0,2,2,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S7HPNTSCZA,942.19,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/6/2017,Complete,a0V1H00000DOPmAUAX,S,S,S,S,9/14/1995,9/24/2005,3/9/2006,2/21/2017,COAX,1, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,S2,PLGC0917,0,2,3,3,Retail,,1,6500,6500,1,1962,0,1,NULL,NULL,CoStar,828.8,COMMERCIAL,0,3,3,3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/5/2017,Complete,a0V1H00000E0ipcUAB,S,S,S,S,11/8/2010,11/8/2010,11/8/2010,2/21/2017,COAX,1, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2, ,0,1,4,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,434.54,COMMERCIAL,0,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,DOIF,6/4/2018,Construction Issue,a0V1H00000DNjOZUA1,S,S,S,S,4/24/2018,4/24/2018,4/24/2018,4/25/2018,COAX ,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2, ,0,0,3,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S5HPNTSCZA,3287.41,COMMERCIAL,0,2,2,2,2,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5.51E+13,Install,8/15/2018,Complete,a0V1H00000G0FjDUAV,S,S,S,S,12/22/2006,12/22/2006,4/19/2012,2/21/2017,COAX ,0, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2, ,0,0,40,32,Retail,,0,164338,164338,1,1990,2004,1,NULL,NULL,Costar,757.3,COMMERCIAL,0,34,34,34,33,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5.51E+13,Install,8/15/2018,Complete,a0V1H00000G0xoWUAR,S,S,S,S,5/19/2015,5/19/2015,10/20/2017,10/20/2017,COAX ,0, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2, ,NULL,NULL,40,32,Retail,,0,164338,164338,1,1990,2004,1,NULL,NULL,Costar,757.3,COMMERCIAL,0,34,34,34,33,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5.51E+13,Install,8/15/2018,Complete,a0V1H00000FuN4tUAF,S,S,S,S,11/21/2008,11/21/2008,11/21/2008,2/21/2017,COAX ,0, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2,PLGC0917,0,1,6,6,Office,,0,8099,8099,1,1983,0,1,NULL,NULL,Costar,0,COMMERCIAL,0,6,6,6,6,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5.51E+13,Install,8/15/2018,Complete,a0V1H00000G1TtNUAV,S,S,S,S,10/12/2012,10/12/2012,10/12/2012,2/21/2017,COAX ,1, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2, ,0,1,115,109,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Costar,16430.6,COMMERCIAL,0,148,147,147,146,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5.51E+13,DOIF,5/7/2018,Construction Issue,a0V1H00000FMS1cUAH,S,S,S,S,4/17/2018,4/17/2018,4/17/2018,4/17/2018,COAX ,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2, ,0,1,2,1,Retail,Freestanding,0,58136,58136,1,1975,0,1,NULL,NULL,CoStar,1711.73,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/5/2017,Complete,a0V1H00000DOTIJUA5,S,S,S,S,10/4/2013,10/4/2013,10/4/2013,3/1/2017,COAX,3, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,S2,PLGC0917,0,2,2,2,Retail,Auto Repair,0,2310,2310,1,1957,0,1,NULL,NULL,CoStar,131.3,COMMERCIAL,0,2,2,2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,DOIF,12/21/2018,Construction Issue,a0V1H00000GQHq2UAH,S,S,S,N,11/16/2018,11/16/2018,11/16/2018,11/16/2018,COAX ,0,J09032820,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2, ,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,2893.98,COMMERCIAL,0,2,2,2,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5.51E+13,Install,1/17/2018,Complete,a0V1H00000E3q0QUAR,S,S,S,S,4/26/2001,9/24/2005,2/14/2012,2/21/2017,COAX,1, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2, ,0,0,7,6,Office,,0,103640,34016,3,2000,0,1,NULL,NULL,CoStar,2477.46,COMMERCIAL,0,9,9,9,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,8/15/2018,Complete,a0V1H00000G0wI7UAJ,S,S,S,S,2/14/2012,2/14/2012,2/14/2012,2/21/2017,COAX ,0, ,NULL,0,CL,COMMERCIAL,NON_PROFIT,G2,PLGC0917,0,1,59,55,Retail,,0,74182,74182,1,1988,0,1,NULL,NULL,Costar,0,COMMERCIAL,0,54,54,54,54,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5.51E+13,DOIF,12/28/2017,Construction Issue,a0V1H00000DOLsmUAH,S,S,S,S,12/12/2012,12/12/2012,12/12/2012,2/21/2017,COAX,2, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2, ,0,3,3,3,Office,,0,5048,5048,1,2002,0,1,NULL,NULL,CoStar,735.11,COMMERCIAL,0,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,12/7/2017,Complete,a0V1H00000E1VwTUAV,S,S,S,S,9/24/2012,9/24/2012,9/24/2012,2/21/2017,COAX,0, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,S2,PLGC0917,0,1,16,14,Office,,0,24320,12160,2,1979,0,1,NULL,NULL,CoStar,484.08,COMMERCIAL,0,3,3,3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.51E+13,Install,1/17/2018,Complete,a0V1H00000E1pWJUAZ,S,S,S,S,10/19/2011,10/19/2011,10/19/2011,2/21/2017,COAX,3, ,NULL,1,CL,COMMERCIAL,NON_PROFIT,G2,PLGC0917,0,2,15,15,Retail,,0,30380,30380,1,1986,0,1,NULL,NULL,CoStar,6207.59,COMMERCIAL,0,18,18,18,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
